,magnitude,label,score,aggregation,bayes
0,0.0,Atelectasis,0.8174278215223097,pick_best,no_bayes
1,0.0,Cardiomegaly,0.8407976827094474,pick_best,no_bayes
2,0.0,Consolidation,0.883639705882353,pick_best,no_bayes
3,0.0,Edema,0.9386904761904762,pick_best,no_bayes
4,0.0,Pleural Effusion,0.9329710144927537,pick_best,no_bayes
5,1.0,Atelectasis,0.8038687664041995,pick_best,no_bayes
6,1.0,Cardiomegaly,0.7573529411764707,pick_best,no_bayes
7,1.0,Consolidation,0.8462242647058823,pick_best,no_bayes
8,1.0,Edema,0.9228869047619047,pick_best,no_bayes
9,1.0,Pleural Effusion,0.9184624094202898,pick_best,no_bayes
10,1.5,Atelectasis,0.8053123359580053,pick_best,no_bayes
11,1.5,Cardiomegaly,0.7575122549019608,pick_best,no_bayes
12,1.5,Consolidation,0.8461893382352941,pick_best,no_bayes
13,1.5,Edema,0.9213794642857143,pick_best,no_bayes
14,1.5,Pleural Effusion,0.9207336956521738,pick_best,no_bayes
15,2.0,Atelectasis,0.8035590551181102,pick_best,no_bayes
16,2.0,Cardiomegaly,0.7582698306595366,pick_best,no_bayes
17,2.0,Consolidation,0.843626838235294,pick_best,no_bayes
18,2.0,Edema,0.9210848214285714,pick_best,no_bayes
19,2.0,Pleural Effusion,0.919465579710145,pick_best,no_bayes
20,2.5,Atelectasis,0.7981889763779527,pick_best,no_bayes
21,2.5,Cardiomegaly,0.7555782085561497,pick_best,no_bayes
22,2.5,Consolidation,0.8448051470588236,pick_best,no_bayes
23,2.5,Edema,0.917983630952381,pick_best,no_bayes
24,2.5,Pleural Effusion,0.9174184782608696,pick_best,no_bayes
25,5.0,Atelectasis,0.7853301837270341,pick_best,no_bayes
26,5.0,Cardiomegaly,0.7437589126559715,pick_best,no_bayes
27,5.0,Consolidation,0.8365533088235293,pick_best,no_bayes
28,5.0,Edema,0.9076517857142857,pick_best,no_bayes
29,5.0,Pleural Effusion,0.9086582880434783,pick_best,no_bayes
30,0.0,Atelectasis,0.853753280839895,pick_best,bayes
31,0.0,Cardiomegaly,0.7999108734402852,pick_best,bayes
32,0.0,Consolidation,0.9003676470588236,pick_best,bayes
33,0.0,Edema,0.9363095238095238,pick_best,bayes
39,0.0,Pleural Effusion,0.9329710144927537,pick_best,bayes
44,1.0,Atelectasis,0.8278110236220472,pick_best,bayes
45,1.0,Cardiomegaly,0.7299331550802138,pick_best,bayes
46,1.0,Consolidation,0.869376838235294,pick_best,bayes
47,1.0,Edema,0.9271235119047618,pick_best,bayes
53,1.0,Pleural Effusion,0.9184624094202898,pick_best,bayes
58,1.5,Atelectasis,0.8302372703412073,pick_best,bayes
59,1.5,Cardiomegaly,0.7297805258467023,pick_best,bayes
60,1.5,Consolidation,0.8690661764705881,pick_best,bayes
61,1.5,Edema,0.925764880952381,pick_best,bayes
67,1.5,Pleural Effusion,0.9207336956521738,pick_best,bayes
72,2.0,Atelectasis,0.8327999999999999,pick_best,bayes
73,2.0,Cardiomegaly,0.7334046345811052,pick_best,bayes
74,2.0,Consolidation,0.8662757352941176,pick_best,bayes
75,2.0,Edema,0.9255982142857144,pick_best,bayes
81,2.0,Pleural Effusion,0.919465579710145,pick_best,bayes
86,2.5,Atelectasis,0.8256729658792652,pick_best,bayes
87,2.5,Cardiomegaly,0.728158422459893,pick_best,bayes
88,2.5,Consolidation,0.8667591911764706,pick_best,bayes
89,2.5,Edema,0.9228616071428571,pick_best,bayes
95,2.5,Pleural Effusion,0.9174184782608696,pick_best,bayes
100,5.0,Atelectasis,0.8144377952755906,pick_best,bayes
101,5.0,Cardiomegaly,0.7147660427807486,pick_best,bayes
102,5.0,Consolidation,0.8590992647058824,pick_best,bayes
103,5.0,Edema,0.9160625,pick_best,bayes
109,5.0,Pleural Effusion,0.9086582880434783,pick_best,bayes
116,0.0,Cardiomegaly,0.8463680926916222,simple_mean,no_bayes
119,0.0,Edema,0.938095238095238,simple_mean,no_bayes
120,0.0,Consolidation,0.8924632352941175,simple_mean,no_bayes
122,0.0,Atelectasis,0.8133333333333332,simple_mean,no_bayes
124,0.0,Pleural Effusion,0.9334239130434783,simple_mean,no_bayes
130,1.0,Cardiomegaly,0.7470788770053477,simple_mean,no_bayes
133,1.0,Edema,0.9238705357142857,simple_mean,no_bayes
134,1.0,Consolidation,0.8634650735294117,simple_mean,no_bayes
136,1.0,Atelectasis,0.806542782152231,simple_mean,no_bayes
138,1.0,Pleural Effusion,0.9219984148550725,simple_mean,no_bayes
144,1.5,Cardiomegaly,0.7454211229946525,simple_mean,no_bayes
147,1.5,Edema,0.9213497023809523,simple_mean,no_bayes
148,1.5,Consolidation,0.8614889705882353,simple_mean,no_bayes
150,1.5,Atelectasis,0.8072461942257219,simple_mean,no_bayes
152,1.5,Pleural Effusion,0.9226494565217391,simple_mean,no_bayes
158,2.0,Cardiomegaly,0.7459525401069519,simple_mean,no_bayes
161,2.0,Edema,0.9236458333333333,simple_mean,no_bayes
162,2.0,Consolidation,0.8613474264705883,simple_mean,no_bayes
164,2.0,Atelectasis,0.8092566929133859,simple_mean,no_bayes
166,2.0,Pleural Effusion,0.9226528532608694,simple_mean,no_bayes
172,2.5,Cardiomegaly,0.7452595811051693,simple_mean,no_bayes
175,2.5,Edema,0.9205029761904762,simple_mean,no_bayes
176,2.5,Consolidation,0.8609779411764706,simple_mean,no_bayes
178,2.5,Atelectasis,0.8078593175853018,simple_mean,no_bayes
180,2.5,Pleural Effusion,0.9216417572463768,simple_mean,no_bayes
186,5.0,Cardiomegaly,0.733186274509804,simple_mean,no_bayes
189,5.0,Edema,0.9169508928571428,simple_mean,no_bayes
190,5.0,Consolidation,0.8548658088235295,simple_mean,no_bayes
